target_prevalence,negative_weight,category,pairs,positive_examples,unweighted_prevalence,weighted_prevalence,average_precision,roc_auc
0.2,1.3864913270688684,Детские товары,2683,1528,0.569511740588893,0.48827290506099236,0.6927614607773835,0.6977298225334838
0.2,1.3864913270688684,Дом и сад,2632,656,0.24924012158054712,0.19318510890482943,0.458259650973171,0.7383923391675791
0.2,1.3864913270688684,Канцелярские товары,2570,857,0.33346303501945523,0.26515599790516636,0.4499323535012165,0.6828767043972241
0.2,1.3864913270688684,Красота и гигиена,2635,943,0.3578747628083491,0.28671822731550484,0.5157304036855536,0.7190778637666141
0.2,1.3864913270688684,Мебель,2806,401,0.1429080541696365,0.1073480793191092,0.2870688843161348,0.7114142917135563
0.2,1.3864913270688684,Музыкальные инструменты,2709,592,0.21853082318198597,0.16783841033275695,0.5912553837764976,0.8379048628222039
0.2,1.3864913270688684,Обувь,2797,281,0.10046478369681802,0.07454743250752936,0.19812358719989084,0.7318697701260107
0.2,1.3864913270688684,Одежда,3531,415,0.11753044463324837,0.08763951358975047,0.176032573283957,0.7182660036809771
0.2,1.3864913270688684,Продукты питания,2685,754,0.2808193668528864,0.21974084407012487,0.504100124219229,0.7245984474997564
0.2,1.3864913270688684,Спорт и отдых,2651,709,0.26744624669935874,0.20843340015774886,0.42669130157865565,0.7180621667279232
0.2,1.3864913270688684,Строительство и ремонт,2724,612,0.22466960352422907,0.17286818656177919,0.4461745686098503,0.766700785427815
0.2,1.3864913270688684,Товары для животных,2734,979,0.3580833942940746,0.28690391090566886,0.5427910874309122,0.7135131202546974
0.2,1.3864913270688684,Хобби и творчество,2680,1236,0.46119402985074626,0.38170609003453,0.6803106087494802,0.7757479336435077
0.2,1.3864913270688684,Электроника,2748,471,0.17139737991266377,0.12982213603159035,0.35244189883740795,0.773919383999703
0.2,1.3864913270688684,Ювелирные изделия,2849,333,0.11688311688311688,0.08714056071684871,0.1729556657682529,0.6648405161918826
0.15,1.964196046680897,Автотовары,2859,512,0.17908359566281917,0.0999615748963415,0.3325674031073408,0.7074926934650642
0.15,1.964196046680897,Аптека,2692,210,0.07800891530460624,0.041296842074005594,0.3501614966687741,0.8962645332105458
0.15,1.964196046680897,Бытовая техника,2682,969,0.36129753914988816,0.22359812483716862,0.47484016139846574,0.7362697805948281
0.15,1.964196046680897,Бытовая химия,2571,1226,0.4768572539867756,0.31697247886630625,0.5267556991270197,0.6826112664269264
0.15,1.964196046680897,Галантерея и аксессуары,2649,444,0.16761041902604756,0.09298327509147834,0.22745329838811174,0.7165757594329097
0.15,1.964196046680897,Детские товары,2683,1528,0.569511740588893,0.4024604414964681,0.6200819472611407,0.6977298225334885
0.15,1.964196046680897,Дом и сад,2632,656,0.24924012158054712,0.14458092441165188,0.387167822971617,0.7383923391675815
0.15,1.964196046680897,Канцелярские товары,2570,857,0.33346303501945523,0.20300033894737574,0.3737799618107909,0.6828767043972304
0.15,1.964196046680897,Красота и гигиена,2635,943,0.3578747628083491,0.22102841817747246,0.43840465398004147,0.7190778637666206
0.15,1.964196046680897,Мебель,2806,401,0.1429080541696365,0.0782455590728173,0.23474568515874078,0.7114142917135456
0.15,1.964196046680897,Музыкальные инструменты,2709,592,0.21853082318198597,0.12462625200619591,0.5274210180389468,0.8379048628222049
