split,routing,priority,specialist,route_budget,score_mode,route_coverage,minilm_coverage,rumodernbert_coverage,macro_ap,baseline_bge_macro_ap,delta_vs_bge,routed_pairs,routing_uses_labels
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.3,blend_specialist_25,0.3,0.0,0.3,0.7854703268714518,0.7822219461825138,0.0032483806889379574,3600,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.05,replace,0.05,0.02575,0.02425,0.7808498907854888,0.7822219461825138,-0.0013720553970250071,600,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.05,blend_50_50,0.05,0.02575,0.02425,0.7830536978521758,0.7822219461825138,0.0008317516696619842,600,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.05,blend_specialist_25,0.05,0.02575,0.02425,0.7828432132654031,0.7822219461825138,0.0006212670828892319,600,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.1,replace,0.1,0.0605,0.0395,0.7836310639733481,0.7822219461825138,0.0014091177908343022,1200,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.1,blend_50_50,0.1,0.0605,0.0395,0.7854396396938506,0.7822219461825138,0.0032176935113367167,1200,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.1,blend_specialist_25,0.1,0.0605,0.0395,0.7843228955561989,0.7822219461825138,0.0021009493736851015,1200,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.15,replace,0.15,0.094,0.056,0.7839741362924673,0.7822219461825138,0.001752190109953422,1800,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.15,blend_50_50,0.15,0.094,0.056,0.7864618216219229,0.7822219461825138,0.004239875439409069,1800,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.15,blend_specialist_25,0.15,0.094,0.056,0.7850975602194238,0.7822219461825138,0.002875614036909946,1800,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.2,replace,0.2,0.12391666666666666,0.07608333333333334,0.7814843536830978,0.7822219461825138,-0.0007375924994160732,2400,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.2,blend_50_50,0.2,0.12391666666666666,0.07608333333333334,0.7865741011921091,0.7822219461825138,0.004352155009595293,2400,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.2,blend_specialist_25,0.2,0.12391666666666666,0.07608333333333334,0.7855684058806569,0.7822219461825138,0.003346459698143067,2400,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.3,replace,0.3,0.16458333333333333,0.13541666666666666,0.7821522960608968,0.7822219461825138,-6.965012161708195e-05,3600,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.3,blend_50_50,0.3,0.16458333333333333,0.13541666666666666,0.7880390185242125,0.7822219461825138,0.005817072341698704,3600,False
iid,domain_conflict_dynamic,domain_conflict,dynamic_conflict,0.3,blend_specialist_25,0.3,0.16458333333333333,0.13541666666666666,0.7863276523929223,0.7822219461825138,0.004105706210408511,3600,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.05,replace,0.04987960096319229,0.04987960096319229,0.0,0.3761552782126291,0.3759746515593398,0.0001806266532893286,290,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.05,blend_50_50,0.04987960096319229,0.04987960096319229,0.0,0.37637781539855736,0.3759746515593398,0.0004031638392175685,290,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.05,blend_specialist_25,0.04987960096319229,0.04987960096319229,0.0,0.37608094722949426,0.3759746515593398,0.00010629567015446595,290,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.1,replace,0.0999312005503956,0.0999312005503956,0.0,0.3749127157855811,0.3759746515593398,-0.001061935773758682,581,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.1,blend_50_50,0.0999312005503956,0.0999312005503956,0.0,0.3761001376760676,0.3759746515593398,0.00012548611672780208,581,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.1,blend_specialist_25,0.0999312005503956,0.0999312005503956,0.0,0.376227589832938,0.3759746515593398,0.0002529382735982355,581,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.15,replace,0.1499828001375989,0.1499828001375989,0.0,0.37547633533433233,0.3759746515593398,-0.0004983162250074558,872,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.15,blend_50_50,0.1499828001375989,0.1499828001375989,0.0,0.3764052232510698,0.3759746515593398,0.0004305716917299973,872,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.15,blend_specialist_25,0.1499828001375989,0.1499828001375989,0.0,0.37634235568849245,0.3759746515593398,0.00036770412915265727,872,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.2,replace,0.1998624011007912,0.1998624011007912,0.0,0.37436037642208364,0.3759746515593398,-0.0016142751372561492,1162,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.2,blend_50_50,0.1998624011007912,0.1998624011007912,0.0,0.37617222008167445,0.3759746515593398,0.00019756852233465683,1162,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.2,blend_specialist_25,0.1998624011007912,0.1998624011007912,0.0,0.3758728495726002,0.3759746515593398,-0.0001018019867395914,1162,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.3,replace,0.2999656002751978,0.2999656002751978,0.0,0.3747696738503587,0.3759746515593398,-0.001204977708981092,1744,False
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.3,blend_50_50,0.2999656002751978,0.2999656002751978,0.0,0.37678265540502776,0.3759746515593398,0.0008080038456879657,1744,False
