kind,pattern,support,negative_support,positive_support,positive_rate,fpr,fnr,false_positives,false_negatives
char,ческ,2010,1452,558,0.27761194029850744,0.09917355371900827,0.5394265232974911,144,301
char,ическ,1939,1386,553,0.2851985559566787,0.10317460317460317,0.5406871609403255,143,299
char,набо,1271,668,603,0.47442958300550747,0.21407185628742514,0.37645107794361526,143,227
char,набор,1246,653,593,0.47592295345104335,0.21898928024502298,0.37099494097807756,143,220
char,ред,1072,601,471,0.439365671641791,0.23627287853577372,0.416135881104034,142,196
char,ова,2163,1565,598,0.2764678687008784,0.08945686900958466,0.5886287625418061,140,352
char,кор,1846,1239,607,0.32881906825568796,0.11299435028248588,0.586490939044481,140,356
char,ник,2203,1506,697,0.31638674534725375,0.09229747675962816,0.6628407460545194,139,462
char,оро,1588,963,625,0.39357682619647355,0.14434060228452752,0.4784,139,299
char,ист,1603,995,608,0.3792888334373051,0.13869346733668342,0.555921052631579,138,338
char,руш,685,313,372,0.5430656934306569,0.43450479233226835,0.29838709677419356,136,111
char,ски,2018,1427,591,0.29286422200198214,0.09460406447091801,0.571912013536379,135,338
char,ство,942,521,421,0.4469214437367304,0.2591170825335892,0.4156769596199525,135,175
char,груш,658,296,362,0.5501519756838906,0.44932432432432434,0.287292817679558,133,104
char,игру,638,280,358,0.5611285266457681,0.475,0.27932960893854747,133,100
char,игруш,637,280,357,0.5604395604395604,0.475,0.2801120448179272,133,100
char,тель,1576,1006,570,0.3616751269035533,0.1312127236580517,0.5456140350877193,132,311
char,00м,1231,736,495,0.4021121039805037,0.1793478260869565,0.49696969696969695,132,246
char,рушк,633,279,354,0.5592417061611374,0.4731182795698925,0.2966101694915254,132,105
char,грушк,616,269,347,0.5633116883116883,0.483271375464684,0.2881844380403458,130,100
char,альн,1734,1210,524,0.3021914648212226,0.10661157024793388,0.5553435114503816,129,291
char,ьны,1569,1042,527,0.33588272785213513,0.12284069097888675,0.5502846299810247,128,290
char,льны,1568,1041,527,0.3360969387755102,0.12295869356388088,0.5502846299810247,128,290
char,рушка,604,266,338,0.5596026490066225,0.4774436090225564,0.2988165680473373,127,101
char,дст,807,439,368,0.4560099132589839,0.2847380410022779,0.39945652173913043,125,147
char,сре,764,399,365,0.47774869109947643,0.3132832080200501,0.37534246575342467,125,137
char,сред,749,387,362,0.4833110814419226,0.32299741602067183,0.3784530386740331,125,137
char,орм,1506,984,522,0.3466135458167331,0.12296747967479675,0.5613026819923371,121,293
char,00мл,986,549,437,0.4432048681541582,0.2204007285974499,0.4759725400457666,121,208
char,едс,672,341,331,0.49255952380952384,0.3489736070381232,0.36555891238670696,119,121
char,дств,679,352,327,0.48159057437407954,0.3352272727272727,0.36085626911314983,118,118
char,редс,646,322,324,0.5015479876160991,0.36645962732919257,0.3549382716049383,118,115
char,едст,644,320,324,0.5031055900621118,0.36875,0.35802469135802467,118,116
char,едств,643,320,323,0.5023328149300156,0.36875,0.3560371517027864,118,115
char,редст,641,319,322,0.5023400936037441,0.3667711598746082,0.35714285714285715,117,115
char,дство,630,315,315,0.5,0.37142857142857144,0.3492063492063492,117,110
char,яиг,606,220,386,0.636963696369637,0.5318181818181819,0.18134715025906736,117,70
char,яигр,603,218,385,0.6384742951907131,0.536697247706422,0.17922077922077922,117,69
char,ров,1917,1387,530,0.2764736567553469,0.083633741888969,0.560377358490566,116,297
char,ово,1834,1306,528,0.28789531079607417,0.0888208269525268,0.5359848484848485,116,283
char,средс,634,316,318,0.501577287066246,0.3670886075949367,0.3584905660377358,116,114
char,аяи,620,242,378,0.6096774193548387,0.47520661157024796,0.18783068783068782,115,71
char,стр,2087,1296,791,0.37901293723047436,0.08796296296296297,0.47281921618204803,114,374
char,ект,1759,1307,452,0.25696418419556566,0.08722264728385616,0.6128318584070797,114,277
char,аяиг,578,209,369,0.6384083044982699,0.5454545454545454,0.1842818428184282,114,68
char,аяигр,575,207,368,0.64,0.5507246376811594,0.18206521739130435,114,67
char,аст,2087,1249,838,0.4015333013895544,0.09047237790232186,0.5,113,419
