kind,pattern,support,negative_support,positive_support,positive_rate,fpr,fnr,false_positives,false_negatives
word,6,1424,1075,349,0.24508426966292135,0.052093023255813956,0.6103151862464183,56,213
word,12,791,484,307,0.38811630847029077,0.11570247933884298,0.5700325732899023,56,175
word,40,599,418,181,0.3021702838063439,0.12679425837320574,0.5303867403314917,53,96
word,500,605,368,237,0.39173553719008264,0.14130434782608695,0.540084388185654,52,128
word,набор для,203,85,118,0.5812807881773399,0.6,0.2033898305084746,51,24
word,гель,450,251,199,0.44222222222222224,0.199203187250996,0.5477386934673367,50,109
word,мытья,241,134,107,0.44398340248962653,0.373134328358209,0.34579439252336447,50,37
word,для мытья,236,132,104,0.4406779661016949,0.3712121212121212,0.34615384615384615,49,36
word,собак,651,430,221,0.33947772657450076,0.11162790697674418,0.583710407239819,48,129
word,30,706,484,222,0.31444759206798867,0.09710743801652892,0.5315315315315315,47,118
word,конструктор,339,97,242,0.7138643067846607,0.4845360824742268,0.22727272727272727,47,55
word,машина,239,171,68,0.28451882845188287,0.27485380116959063,0.23529411764705882,47,16
word,кошек,567,336,231,0.4074074074074074,0.13392857142857142,0.5974025974025974,45,138
word,посуды,237,125,112,0.47257383966244726,0.36,0.33035714285714285,45,37
word,стирки,231,122,109,0.47186147186147187,0.36885245901639346,0.48623853211009177,45,53
word,для стирки,227,120,107,0.4713656387665198,0.375,0.48598130841121495,45,52
word,алмазная,208,138,70,0.33653846153846156,0.32608695652173914,0.5428571428571428,45,38
word,250,443,260,183,0.41309255079006774,0.16923076923076924,0.4918032786885246,44,90
word,мозаика,190,128,62,0.3263157894736842,0.34375,0.532258064516129,44,33
word,60,710,550,160,0.22535211267605634,0.07818181818181819,0.55,43,88
word,белья,286,173,113,0.3951048951048951,0.24855491329479767,0.5132743362831859,43,58
word,алмазная мозаика,175,124,51,0.2914285714285714,0.3467741935483871,0.6078431372549019,43,31
word,0,1281,1057,224,0.17486338797814208,0.03878902554399243,0.6651785714285714,41,149
word,порошок,321,175,146,0.45482866043613707,0.2342857142857143,0.4863013698630137,41,71
word,средство для мытья,167,94,73,0.437125748502994,0.43617021276595747,0.3150684931506849,41,23
word,8,1472,1176,296,0.20108695652173914,0.034013605442176874,0.5709459459459459,40,169
word,7,794,572,222,0.2795969773299748,0.06993006993006994,0.5495495495495496,40,122
word,9,426,259,167,0.392018779342723,0.15444015444015444,0.6167664670658682,40,103
word,сухой,350,209,141,0.40285714285714286,0.18181818181818182,0.5177304964539007,38,73
word,x,779,623,156,0.20025673940949937,0.0593900481540931,0.6730769230769231,37,105
word,250 мл,230,119,111,0.4826086956521739,0.31092436974789917,0.3963963963963964,37,44
word,творчества,148,77,71,0.4797297297297297,0.4675324675324675,0.2535211267605634,36,18
word,черный,935,669,266,0.28449197860962566,0.052316890881913304,0.6616541353383458,35,176
word,мытья посуды,187,101,86,0.45989304812834225,0.3465346534653465,0.3372093023255814,35,29
word,для мытья посуды,185,100,85,0.4594594594594595,0.35,0.3411764705882353,35,29
word,м,860,672,188,0.2186046511627907,0.050595238095238096,0.648936170212766,34,122
word,гр,456,349,107,0.23464912280701755,0.09742120343839542,0.514018691588785,34,55
