specialist,slice_type,slice_value,iid_n,iid_macro_ap_delta,iid_logloss_gain,iid_mae_gain,iid_binary_net_correction_rate,hard_n,hard_macro_ap_delta,hard_logloss_gain,hard_mae_gain,hard_binary_net_correction_rate,ood_n,ood_macro_ap_delta,ood_logloss_gain,ood_mae_gain,ood_binary_net_correction_rate,iid_better,hard_better,ood_better,stable_iid_hard,stable_all_three,production_candidate,min_iid_hard_logloss_gain
minilm,model_sku_code_state,no_evidence,3897.0,0.0011365524765172275,-0.0034139977491179606,-0.0037540168476149164,0.0043623299974339235,2058.0,0.011904554150031721,0.009280613062774914,0.0007165637659169173,0.003401360544217687,6094.0,-0.022876846101082315,0.0005111797700988081,-0.010706478232311389,-0.00508697079094191,False,True,False,False,False,False,-0.0034139977491179606
minilm,title_code_state,both_missing,3897.0,0.0011365524765172275,-0.0034139977491179606,-0.0037540168476149164,0.0043623299974339235,2058.0,0.011904554150031721,0.009280613062774914,0.0007165637659169173,0.003401360544217687,6094.0,-0.022876846101082315,0.0005111797700988081,-0.010706478232311389,-0.00508697079094191,False,True,False,False,False,False,-0.0034139977491179606
rumodernbert,title_similarity,near_exact,524.0,-0.012334192754243523,0.00920178585806446,-0.009870814042680635,0.013358778625954198,841.0,-0.04546494687385849,-0.003421045745884252,-0.025656917513892933,-0.019024970273483946,1060.0,-0.014981226488437027,0.018268232813614588,-0.017265667994111285,0.011320754716981131,False,False,False,False,False,False,-0.003421045745884252
rumodernbert,title_exact_near,near_exact,1612.0,-0.011206188025568053,0.0040707667659165715,-0.015974597204733692,-0.0037220843672456576,1593.0,-0.028207127499524337,-0.0034408216045873144,-0.0272184177686952,-0.027620841180163214,8405.0,-0.005275338366371507,0.012120894108198563,-0.017164584084872474,0.001189767995240928,False,False,False,False,False,False,-0.0034408216045873144
rumodernbert,numeric_match_count,none,5682.0,-0.012181458355073782,-0.00345281928204477,-0.015627620734547612,-0.006335797254487857,2694.0,-0.04111229617776957,0.002533555802430275,-0.024905040043691568,-0.021158129175946547,24175.0,-0.008283548016640996,0.00807535415763481,-0.015190793076394843,-0.000827300930713547,False,False,False,False,False,False,-0.00345281928204477
minilm,model_sku_code_state,one_missing,4230.0,-0.0012111473745288759,0.0023654429321782106,-0.0027283059047700465,0.001182033096926714,1868.0,-0.012493429915417131,-0.0034731178820549846,-0.0015850406006621175,-0.0010706638115631692,13648.0,-0.023079422505543956,-0.006580172094506701,-0.009253526734076641,-0.0038100820633059787,False,False,False,False,False,False,-0.0034731178820549846
minilm,title_code_state,one_missing,4230.0,-0.0012111473745288759,0.0023654429321782106,-0.0027283059047700465,0.001182033096926714,1868.0,-0.012493429915417131,-0.0034731178820549846,-0.0015850406006621175,-0.0010706638115631692,13648.0,-0.023079422505543956,-0.006580172094506701,-0.009253526734076641,-0.0038100820633059787,False,False,False,False,False,False,-0.0034731178820549846
rumodernbert,attribute_count,10-19,5751.0,0.0035377927795134934,-0.0035528641989664273,-0.0186612012887507,-0.0026082420448617634,2736.0,-0.02658447001721792,0.022661163032949936,-0.021632497665083513,-0.017909356725146198,16331.0,-0.008607004390993933,0.005075914313241357,-0.017026296721346118,-0.0022043965464454106,False,False,False,False,False,False,-0.0035528641989664273
rumodernbert,numeric_volume_state,both_missing,10119.0,-0.010572051992662423,-0.0036108225294729734,-0.017049497391040398,-0.004842375728826959,5063.0,-0.02646441554936435,0.02459864128712677,-0.01972555115343745,-0.017578510764368952,33622.0,-0.006316598447509536,0.009328480585564456,-0.015852935886896465,-0.0024388793052168224,False,False,False,False,False,False,-0.0036108225294729734
rumodernbert,model_attribute_state,both_missing,6371.0,-0.007760022221059537,-0.0037284514584863745,-0.02030326126041507,-0.005650604300737718,3200.0,-0.009728049266344796,0.04271863403819196,-0.020748259186011638,-0.0165625,9761.0,-0.009995130551749276,0.021815410346191996,-0.014869923868990895,-0.002253867431615613,False,False,False,False,False,False,-0.0037284514584863745
minilm,numeric_match_count,multiple,1975.0,0.004680706040556815,-0.0037905924237677164,-5.07692582212695e-05,0.006582278481012658,1035.0,0.003344438404201122,0.009436475922637952,0.0015511702771390256,0.000966183574879227,6075.0,-0.02905530435419068,-0.012897154841325914,-0.011964238758592717,-0.0036213991769547325,False,True,False,False,False,False,-0.0037905924237677164
minilm,brand_state,one_missing,9532.0,0.0001346279026293029,-0.0023777755672696505,-0.0028049540042578247,0.000419639110365086,4656.0,-0.011514988064230125,-0.003808104173783029,-0.0014856742821837518,-0.000429553264604811,34755.0,-0.021329749700783274,-0.008690390362361147,-0.009807088757168741,-0.003711696158826068,False,False,False,False,False,False,-0.003808104173783029
rumodernbert,numeric_weight_state,one_missing,3618.0,-0.0005002357406201918,-0.0038117748211194337,-0.015686218183908977,-0.005251520176893312,1623.0,-0.021407235124584256,0.027205703481810763,-0.02107137681954677,-0.017868145409735057,8347.0,0.0048642033233033954,0.014052766534785752,-0.01431000267876708,-0.0004792140888942135,False,False,False,False,False,False,-0.0038117748211194337
