split,specialist,slice_type,slice_value,n,positive_rate,ap_category_count,bge_macro_ap,specialist_macro_ap,macro_ap_delta,bge_overall_ap,specialist_overall_ap,overall_ap_delta,bge_binary_error_rate_at_0p5,specialist_binary_error_rate_at_0p5,binary_corrected,binary_regressed,binary_net_correction,binary_net_correction_rate,logloss_specialist_better,logloss_bge_better,bge_logloss,specialist_logloss,logloss_gain,absolute_error_specialist_better,absolute_error_bge_better,bge_mae,specialist_mae,mae_gain
ood,rumodernbert,title_similarity,near_exact,1060,0.4207547169811321,2,0.6670876423043592,0.6521064158159222,-0.014981226488437027,0.8848209434290522,0.8788998951948069,-0.005921048234245219,0.1650943396226415,0.15377358490566037,40,28,12,0.011320754716981131,289,670,0.43673814342974887,0.41846991061613426,0.018268232813614588,250,588,0.20641901126056733,0.2236846792546786,-0.017265667994111285
ood,rumodernbert,title_similarity,very_low,8005,0.10218613366645847,2,0.556744390947936,0.5376326973034549,-0.019111693644481176,0.545087273280685,0.5205972499612447,-0.02449002331944028,0.08432229856339787,0.08794503435352904,103,132,-29,-0.003622735790131168,1497,5741,0.2248428455945586,0.23413880633205675,-0.009295960737498169,1299,4737,0.11720792500302359,0.13517327022038955,-0.01796534521736595
ood,rumodernbert,title_exact_near,exact,958,0.2265135699373695,2,0.6847954332908623,0.6649429700501733,-0.01985246324068901,0.8044256220754711,0.7984573214668476,-0.005968300608623522,0.11795407098121086,0.11691022964509394,9,8,1,0.0010438413361169101,173,687,0.37110612323277503,0.3224171680612308,0.04868895517154428,150,482,0.13429304354692945,0.14903176772371246,-0.014738724176782998
ood,rumodernbert,title_exact_near,high_nonexact,4812,0.3248129675810474,2,0.6213028611186588,0.6005590661587517,-0.02074379495990719,0.797196973246809,0.7923722144004315,-0.004824758846377564,0.1814214463840399,0.18204488778054864,130,133,-3,-0.0006234413965087282,1325,3056,0.4728598176671316,0.44490021240394756,0.027959605263183914,1135,2661,0.2127462776178038,0.22989915295139499,-0.017152875333591187
ood,rumodernbert,title_exact_near,near_exact,8405,0.26519928613920285,2,0.7052982499573432,0.7000229115909717,-0.005275338366371507,0.8152481065189126,0.8118622266877578,-0.003385879831154792,0.13908387864366448,0.13789411064842355,197,187,10,0.001189767995240928,1922,5755,0.3413340999295048,0.32921320582130625,0.012120894108198563,1684,4802,0.1719448101270557,0.18910939421192818,-0.017164584084872474
ood,rumodernbert,title_exact_near,not_near,26996,0.19062083271595792,2,0.6105193631082414,0.6010347532564626,-0.009484609851778791,0.69091595528577,0.6795013054089675,-0.011414649876802518,0.1291672840420803,0.13157504815528226,494,559,-65,-0.002407764113201956,6489,17735,0.3365154045637447,0.3320881586727849,0.004427245890959795,5639,14940,0.16410696370815306,0.17994789755982532,-0.015840933851672262
ood,rumodernbert,brand_state,conflict,3818,0.28129910948140385,2,0.6121667794630132,0.6082106346484561,-0.003956144814557083,0.7232288641554518,0.7203317597091823,-0.0028971044462695605,0.1820324777370351,0.17627029858564694,100,78,22,0.005762179151388162,1081,2439,0.4836855571430483,0.4543447429324254,0.02934081421062289,942,2197,0.2127065821189542,0.2282889437183129,-0.015582361599358666
ood,rumodernbert,brand_state,match,2598,0.3745188606620477,2,0.7384100018121837,0.7267756268105788,-0.011634375001604913,0.8162442134850469,0.8065373944433227,-0.009706819041724213,0.20323325635103925,0.20554272517321015,78,84,-6,-0.0023094688221709007,830,1497,0.5116286598783765,0.5004650094408416,0.011163650437534983,698,1321,0.23860542626912204,0.25213658607445133,-0.01353115980532931
ood,rumodernbert,brand_state,one_missing,34755,0.20451733563516042,2,0.6371020213073284,0.6299301307469543,-0.00717189056037415,0.7394022601786591,0.7312467464254496,-0.008155513753209442,0.12714717306862322,0.1292475902747806,652,725,-73,-0.0021004172061573874,7998,23297,0.3282543911565356,0.3207287605382169,0.007525630618318685,6968,19367,0.16100719082205975,0.17752055878635553,-0.01651336796429577
ood,rumodernbert,model_attribute_state,both_missing,9761,0.2613461735477922,2,0.6296318838576115,0.6196367533058622,-0.009995130551749276,0.7009022946707486,0.6967514695158386,-0.004150825154910054,0.182255916402008,0.1845097838336236,266,288,-22,-0.002253867431615613,2756,6345,0.4517530484492007,0.4299376381030087,0.021815410346191996,2452,5570,0.21760604667843622,0.2324759705474271,-0.014869923868990895
ood,rumodernbert,model_attribute_state,conflict,11247,0.1635102694051747,2,0.621914030770647,0.611458970381133,-0.010455060389514048,0.7157353949030082,0.7066769935046902,-0.009058401398318039,0.1034053525384547,0.10518360451676002,136,156,-20,-0.0017782519783053259,2256,7512,0.2818877294789981,0.2768457129995601,0.0050420164794380004,1902,5972,0.1329374366834081,0.14920461620903863,-0.016267179525630542
ood,rumodernbert,model_attribute_state,match,1944,0.3441358024691358,2,0.7600693327684132,0.763659123937413,0.003589791168999823,0.8886410465919753,0.890023589549763,0.0013825429577877246,0.15020576131687244,0.13940329218106995,59,38,21,0.010802469135802469,538,1235,0.34266083938780606,0.32789916632980975,0.014761673057996378,483,1062,0.1776322503128353,0.19243828785234923,-0.014806037539513945
ood,rumodernbert,model_attribute_state,one_missing,18219,0.22482024260387506,2,0.6329357591578691,0.6208146668815984,-0.012121092276270784,0.7554156719162617,0.7441919609967217,-0.011223710919539998,0.13216971293704374,0.13414567210055436,369,405,-36,-0.0019759591635106206,4359,12141,0.34789607602221523,0.3421748392652925,0.005721236756922762,3771,10281,0.1681375749702714,0.18524522530085455,-0.017107650330583153
ood,rumodernbert,title_code_state,both_missing,6094,0.19970462750246143,2,0.6012610978799475,0.5881439353290576,-0.013117162550889905,0.5937860564753367,0.5827152974314207,-0.011070759043915968,0.1665572694453561,0.16869051526091236,167,180,-13,-0.002133245815556285,1625,4112,0.3928910879687787,0.3857667524210558,0.007124335547722996,1468,3588,0.20258855918964644,0.21897228516312073,-0.016383725973474265
ood,rumodernbert,title_code_state,conflict,16549,0.15565895220255,2,0.5264758559378397,0.5180923532576306,-0.008383502680209154,0.5825964431968025,0.5775056291636729,-0.005090814033129609,0.12169919632606199,0.12188047616170161,234,237,-3,-0.00018127983563961567,3538,10959,0.3462284315200014,0.330221287705354,0.016007143814647417,2958,8949,0.15079098983844277,0.16677312513630926,-0.015982135297866493
