split,route_expert,oracle_policy,score_mode,route_budget,pairs,routed_pairs,route_coverage,positive_benefit_pairs,baseline_macro_ap,macro_ap,macro_ap_gain,gain_per_route_coverage,baseline_overall_ap,overall_ap,ap_category_count,routed_minilm,routed_rumodernbert,selection_uses_label
hard,rumodernbert,global_directional,blend_50_50,0.4,5814,2015,0.34657722738218094,2015,0.3759746515593398,0.4233294139481984,0.04735476238885861,0.13663552780586796,0.42671110574515686,0.48224784454184055,18,0,2015,True
hard,rumodernbert,category_balanced_directional,blend_50_50,0.05,5814,281,0.048331613347093225,2015,0.3759746515593398,0.3889936148302952,0.01301896327095542,0.26936744646738364,0.42671110574515686,0.4406721953457537,18,0,281,True
hard,rumodernbert,category_balanced_directional,blend_50_50,0.1,5814,572,0.09838321293429653,2015,0.3759746515593398,0.3994405261561326,0.023465874596792835,0.23851502605900968,0.42671110574515686,0.4509772868343444,18,0,572,True
hard,rumodernbert,category_balanced_directional,blend_50_50,0.15,5814,864,0.14860681114551083,2015,0.3759746515593398,0.40662910533948926,0.03065445378014947,0.20627892856225583,0.42671110574515686,0.4592700758536933,18,0,864,True
hard,rumodernbert,category_balanced_directional,blend_50_50,0.2,5814,1155,0.19865841073271415,2015,0.3759746515593398,0.41434045255824326,0.038365800998903465,0.1931244735996751,0.42671110574515686,0.467476408732167,18,0,1155,True
hard,rumodernbert,category_balanced_directional,blend_50_50,0.3,5814,1695,0.2915376676986584,2015,0.3759746515593398,0.4209853535325391,0.045010701973199285,0.15439069101603578,0.42671110574515686,0.4779813043211227,18,0,1695,True
hard,rumodernbert,category_balanced_directional,blend_50_50,0.4,5814,1987,0.3417612659098727,2015,0.3759746515593398,0.4233247559444927,0.047350104385152914,0.1385473109689376,0.42671110574515686,0.48223174612359826,18,0,1987,True
hard,best_expert,global_directional,blend_50_50,0.05,5814,290,0.04987960096319229,3678,0.3759746515593398,0.392141423562413,0.016166772003073204,0.3241159049167849,0.42671110574515686,0.44472607654768365,18,200,90,True
hard,best_expert,global_directional,blend_50_50,0.1,5814,581,0.0999312005503956,3678,0.3759746515593398,0.40472027416623674,0.028745622606896948,0.28765413052753674,0.42671110574515686,0.45720365680891206,18,355,226,True
hard,best_expert,global_directional,blend_50_50,0.15,5814,872,0.1499828001375989,3678,0.3759746515593398,0.41519958279232555,0.03922493123298576,0.2615295300327743,0.42671110574515686,0.46818259533470374,18,507,365,True
hard,best_expert,global_directional,blend_50_50,0.2,5814,1162,0.1998624011007912,3678,0.3759746515593398,0.4239032874891996,0.0479286359298598,0.2398081663478527,0.42671110574515686,0.4781232455504599,18,672,490,True
hard,best_expert,global_directional,blend_50_50,0.3,5814,1744,0.2999656002751978,3678,0.3759746515593398,0.43875617762224084,0.06278152606290105,0.20929575259730887,0.42671110574515686,0.49337815037312793,18,999,745,True
hard,best_expert,global_directional,blend_50_50,0.4,5814,2325,0.39989680082559337,3678,0.3759746515593398,0.44718967821669836,0.07121502665735857,0.17808351182188506,0.42671110574515686,0.5060603133113111,18,1338,987,True
hard,best_expert,category_balanced_directional,blend_50_50,0.05,5814,281,0.048331613347093225,3678,0.3759746515593398,0.39179344492462564,0.015818793365285855,0.3272970271379785,0.42671110574515686,0.44332171981453333,18,187,94,True
hard,best_expert,category_balanced_directional,blend_50_50,0.1,5814,572,0.09838321293429653,3678,0.3759746515593398,0.4043605588974286,0.028385907338088823,0.2885238903210637,0.42671110574515686,0.4555363375933139,18,348,224,True
