rule_id,category,category_support,category_positive,category_negative,category_baseline,category_effect_median,category_effect_low_95,category_effect_high_95,category_effect_sd,category_shrinkage_weight,category_effect_shrunk,category_support_eligible,category_discovery_class,validation_category_support,validation_category_positive,validation_category_negative,validation_category_baseline,validation_category_effect_median,validation_category_effect_low_95,validation_category_effect_high_95,validation_category_effect_sd,category_registry_coverage
rule_8eb0649a5cc85498,Красота и гигиена,59.0,3.0,56.0,0.3639698458639025,-2.3270106724332544,-3.6349703979654984,-1.3582059489236007,0.5847139630209671,0.0,-2.360154750754165,True,NEGATIVE,5.0,0.0,5.0,0.347682119205298,-2.4806296711195297,-8.694490916304767,0.1543830604016365,2.2718348459217084,BOTH
rule_8fa25cdb4fe1bd4d,Дом и сад,72.0,3.0,69.0,0.26307265155020826,-2.0417231346588234,-3.3928552371560077,-1.0785294710405742,0.5900744317381511,0.0,-2.2979455592524567,True,NEGATIVE,2.0,0.0,2.0,0.275974025974026,-1.275782879650828,-7.408357264242846,1.7829204333436444,2.353703250470605,BOTH
rule_9985fc48a8512f98,Аптека,294.0,2.0,292.0,0.07272669706180344,-2.350376672570325,-3.9923072452064123,-1.2315213137306775,0.7048128581278527,0.0,-2.422074915800585,True,NEGATIVE,13.0,1.0,12.0,0.12732919254658384,-0.4069146394414477,-2.8485598023718737,1.1907998987070427,1.0381396717561944,BOTH
rule_a488f60e29897411,Детские товары,14.0,0.0,14.0,0.5600702033247235,-4.351272230321305,-10.794705317649202,-1.9427132460489451,2.2666303736125952,0.031155448426418854,-1.7739401710304663,True,NEGATIVE,,,,,,,,,DISCOVERY_ONLY
rule_a488f60e29897411,Хобби и творчество,39.0,0.0,39.0,0.4642241379310345,-5.024124718501563,-10.960318396832609,-2.6158823066860952,2.2036478871651317,0.03290237350877889,-1.800725806263275,True,NEGATIVE,6.0,1.0,5.0,0.42151162790697677,-1.1447633860167856,-3.6415905488896025,0.5923659387193649,1.083097284259618,BOTH
rule_a7d48af850b67d17,Музыкальные инструменты,241.0,15.0,226.0,0.2219675833665471,-1.4523822988131232,-2.01798940744405,-0.9700156576350712,0.2657752796141114,0.0,-1.40384943527186,True,NEGATIVE,14.0,1.0,13.0,0.19476744186046513,-0.9768047644226171,-3.404105430470246,0.5665135386372925,1.0122676384208398,BOTH
rule_c468e766f15511f7,Электроника,24.0,1.0,23.0,0.17328234624865685,-1.3934044594737656,-3.777506688367195,-0.005906176097550214,0.9795581196153841,0.0,-1.62396281623625,True,NEGATIVE,3.0,0.0,3.0,0.1408839779005525,-0.7956396104636111,-7.265257621829726,2.013528138993914,2.3509856286197386,BOTH
rule_c8279513c21f3c1b,Хобби и творчество,70.0,4.0,66.0,0.4642241379310345,-2.6186466153065533,-3.7252545919047537,-1.7266496154688173,0.5063135688889879,0.9038814309636167,-2.598657124858741,True,NEGATIVE,6.0,0.0,6.0,0.42151162790697677,-2.9121796610867268,-9.187167526890155,-0.30148548268295905,2.272788626462438,BOTH
rule_d72b383e5fdd66e3,Товары для животных,192.0,47.0,145.0,0.3552049446974626,-0.5211811381633653,-0.8640091051901425,-0.1978247141342144,0.16898351063077105,0.0,-0.5380422566878038,True,NEGATIVE,13.0,4.0,9.0,0.382051282051282,-0.31291272488703115,-1.5889611764503089,0.8269316603880125,0.6108495899835116,BOTH
rule_e0ac5f32e0551448,Продукты питания,24.0,1.0,23.0,0.2700058506143145,-1.9983126368923034,-4.4849761356674644,-0.5683263004750146,0.980685493103649,0.0,-2.1269773844685003,True,NEGATIVE,3.0,0.0,3.0,0.2576530612244898,-1.5323474487368902,-7.90039005630201,1.230978742502948,2.3211141026564763,BOTH
rule_e35082696c4369a5,Красота и гигиена,59.0,0.0,59.0,0.3639698458639025,-4.9640913371285595,-11.040710121350047,-2.6143303527891004,2.225959426843781,0.0,-5.491239237859792,True,NEGATIVE,5.0,0.0,5.0,0.347682119205298,-2.4512925381122033,-8.73560810128087,0.21167081560339318,2.268864657112142,BOTH
rule_e47906aec49b09ca,Электроника,298.0,17.0,281.0,0.17328234624865685,-1.2278879282135304,-1.7638384709461283,-0.7709424136412215,0.25131378319109193,0.0,-1.1196061394867343,True,NEGATIVE,11.0,0.0,11.0,0.1408839779005525,-2.0050197478470344,-8.429327888339886,0.510064919810686,2.309837485552278,BOTH
rule_ecedb87a894f9151,Спорт и отдых,71.0,4.0,67.0,0.25957657955673175,-1.732007347862513,-2.8671528121851355,-0.8813434092948955,0.5112365253839252,0.0,-1.7879714168522542,True,NEGATIVE,3.0,0.0,3.0,0.26878612716763006,-1.6700919416115279,-7.643888030385801,1.1068474334209384,2.319029328167636,BOTH
rule_f53bb79d59252242,Автотовары,177.0,9.0,168.0,0.1751497930693681,-1.3502176350225958,-2.0775826393666317,-0.7568556209603251,0.341940627375248,0.0,-1.3792804280948525,True,NEGATIVE,13.0,1.0,12.0,0.12702702702702703,-0.4236131240488771,-2.819409047676292,1.1914152880100837,1.023556607238412,BOTH
rule_f6fe500617600790,Красота и гигиена,51.0,1.0,50.0,0.3639698458639025,-3.1796424378353265,-5.632052641559048,-1.7712205904721352,1.0010354526388812,0.0,-3.307673023751377,True,NEGATIVE,4.0,0.0,4.0,0.347682119205298,-2.257009509645958,-8.458605808145256,0.39548025183349766,2.2803005155195666,BOTH
